Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-01-01,0.429, 1984,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-01-11,0.409, 1984,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-01-21,0.402, 1984,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-02-01,0.433, 1984,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-02-11,0.403, 1984,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-02-21,0.407, 1984,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-03-01,0.454, 1984,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-03-11,0.501, 1984,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-03-21,0.511, 1984,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-04-01,0.533, 1984,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-04-11,0.574, 1984,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-04-21,0.57, 1984,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-05-01,0.506, 1984,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-05-11,0.459, 1984,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-05-21,0.395, 1984,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-06-01,0.47, 1984,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-06-11,0.473, 1984,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-06-21,0.352, 1984,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-07-01,0.284, 1984,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-07-11,0.355, 1984,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-07-21,0.327, 1984,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Senegal,2636,Dakar,1984-08-01,0.388, 1984,08,1, ,FAO-ASIS
