Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Peanut,646394.0,1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.3623333333333333,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.3583333333333333,0.5323333333333333,0.449225186012,0.52154,0.412514,0.4300628579999999,0.45853,0.4440466666666666,3.644,2.621,3.147,2.912,2.825,4.195,4.309,2.535,2.752,2.164,3.31,3.611,3.055,4.171,3.464038895122,4.03298,3.102872,3.234631435102,3.44734,3.32407,3.411,11.474,13.484,12.029,11.05,11.505,12.816,13.550999999999998,5.489,9.466,11.686,10.246,9.697,12.198,11.55730224196,12.02653,11.877338000000002,11.740637161493998,11.43538,11.33194,20.70152021,28.54738095333333,28.469187986666668,28.469187986666668,28.469187986666668,31.765346956666665,29.97375479,23.03003337,29.14931405333333,23.03003337,29.97375479,29.230144606666663,28.54738095333333,25.763737483333333,28.939056234441612,29.805073765966668,28.471475310846667,28.18587891467555,27.53894468016667,28.675454186133337
Corn,88634.0,1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.3623333333333333,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.3583333333333333,0.5323333333333333,0.449225186012,0.52154,0.412514,0.4300628579999999,0.45853,0.4440466666666666,3.644,2.621,3.147,2.912,2.825,4.195,4.309,2.535,2.752,2.164,3.31,3.611,3.055,4.171,3.464038895122,4.03298,3.102872,3.234631435102,3.44734,3.32407,3.411,11.474,13.484,12.029,11.05,11.505,12.816,13.550999999999998,5.489,9.466,11.686,10.246,9.697,12.198,11.55730224196,12.02653,11.877338000000002,11.740637161493998,11.43538,11.33194,20.70152021,28.54738095333333,28.469187986666668,28.469187986666668,28.469187986666668,31.765346956666665,29.97375479,23.03003337,29.14931405333333,23.03003337,29.97375479,29.230144606666663,28.54738095333333,25.763737483333333,28.939056234441612,29.805073765966668,28.471475310846667,28.18587891467555,27.53894468016667,28.675454186133337
Millet,601359.0,1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.3623333333333333,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.3583333333333333,0.5323333333333333,0.449225186012,0.52154,0.412514,0.4300628579999999,0.45853,0.4440466666666666,3.644,2.621,3.147,2.912,2.825,4.195,4.309,2.535,2.752,2.164,3.31,3.611,3.055,4.171,3.464038895122,4.03298,3.102872,3.234631435102,3.44734,3.32407,3.411,11.474,13.484,12.029,11.05,11.505,12.816,13.550999999999998,5.489,9.466,11.686,10.246,9.697,12.198,11.55730224196,12.02653,11.877338000000002,11.740637161493998,11.43538,11.33194,20.70152021,28.54738095333333,28.469187986666668,28.469187986666668,28.469187986666668,31.765346956666665,29.97375479,23.03003337,29.14931405333333,23.03003337,29.97375479,29.230144606666663,28.54738095333333,25.763737483333333,28.939056234441612,29.805073765966668,28.471475310846667,28.18587891467555,27.53894468016667,28.675454186133337
Rice,148780.0,1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.3623333333333333,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.3583333333333333,0.5323333333333333,0.449225186012,0.52154,0.412514,0.4300628579999999,0.45853,0.4440466666666666,3.644,2.621,3.147,2.912,2.825,4.195,4.309,2.535,2.752,2.164,3.31,3.611,3.055,4.171,3.464038895122,4.03298,3.102872,3.234631435102,3.44734,3.32407,3.411,11.474,13.484,12.029,11.05,11.505,12.816,13.550999999999998,5.489,9.466,11.686,10.246,9.697,12.198,11.55730224196,12.02653,11.877338000000002,11.740637161493998,11.43538,11.33194,20.70152021,28.54738095333333,28.469187986666668,28.469187986666668,28.469187986666668,31.765346956666665,29.97375479,23.03003337,29.14931405333333,23.03003337,29.97375479,29.230144606666663,28.54738095333333,25.763737483333333,28.939056234441612,29.805073765966668,28.471475310846667,28.18587891467555,27.53894468016667,28.675454186133337
Sorghum,133009.0,1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.3623333333333333,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.3583333333333333,0.5323333333333333,0.449225186012,0.52154,0.412514,0.4300628579999999,0.45853,0.4440466666666666,3.644,2.621,3.147,2.912,2.825,4.195,4.309,2.535,2.752,2.164,3.31,3.611,3.055,4.171,3.464038895122,4.03298,3.102872,3.234631435102,3.44734,3.32407,3.411,11.474,13.484,12.029,11.05,11.505,12.816,13.550999999999998,5.489,9.466,11.686,10.246,9.697,12.198,11.55730224196,12.02653,11.877338000000002,11.740637161493998,11.43538,11.33194,20.70152021,28.54738095333333,28.469187986666668,28.469187986666668,28.469187986666668,31.765346956666665,29.97375479,23.03003337,29.14931405333333,23.03003337,29.97375479,29.230144606666663,28.54738095333333,25.763737483333333,28.939056234441612,29.805073765966668,28.471475310846667,28.18587891467555,27.53894468016667,28.675454186133337
Peanut,544825.0,1997,0.5643333333333334,0.415,0.465,0.4566666666666667,0.469,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.4536666666666666,0.5196666666666667,0.5339999999999999,0.4913333333333333,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666,3.967,3.397,3.382,3.354,3.242,4.512,3.799,3.667,3.238,3.383,3.584,4.058,3.699,3.668,3.63348222953,3.87656,3.4876160000000005,3.550647150214,3.61803,3.61255,12.122,9.251,10.024,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.127,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004,22.425384023333333,29.097777776666664,28.999270356666667,28.999270356666667,28.999270356666667,30.54504863,29.576709403333336,24.83044803,28.6791133,24.83044803,29.576709403333336,29.61053251333333,29.097777776666664,27.20695084666667,29.06691602814716,29.60861919163333,28.912052516293333,28.646515897574695,28.008538523,28.95924356756667
Corn,80281.0,1997,0.5643333333333334,0.415,0.465,0.4566666666666667,0.469,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.4536666666666666,0.5196666666666667,0.5339999999999999,0.4913333333333333,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666,3.967,3.397,3.382,3.354,3.242,4.512,3.799,3.667,3.238,3.383,3.584,4.058,3.699,3.668,3.63348222953,3.87656,3.4876160000000005,3.550647150214,3.61803,3.61255,12.122,9.251,10.024,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.127,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004,22.425384023333333,29.097777776666664,28.999270356666667,28.999270356666667,28.999270356666667,30.54504863,29.576709403333336,24.83044803,28.6791133,24.83044803,29.576709403333336,29.61053251333333,29.097777776666664,27.20695084666667,29.06691602814716,29.60861919163333,28.912052516293333,28.646515897574695,28.008538523,28.95924356756667
Millet,426481.0,1997,0.5643333333333334,0.415,0.465,0.4566666666666667,0.469,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.4536666666666666,0.5196666666666667,0.5339999999999999,0.4913333333333333,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666,3.967,3.397,3.382,3.354,3.242,4.512,3.799,3.667,3.238,3.383,3.584,4.058,3.699,3.668,3.63348222953,3.87656,3.4876160000000005,3.550647150214,3.61803,3.61255,12.122,9.251,10.024,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.127,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004,22.425384023333333,29.097777776666664,28.999270356666667,28.999270356666667,28.999270356666667,30.54504863,29.576709403333336,24.83044803,28.6791133,24.83044803,29.576709403333336,29.61053251333333,29.097777776666664,27.20695084666667,29.06691602814716,29.60861919163333,28.912052516293333,28.646515897574695,28.008538523,28.95924356756667
Rice,173702.0,1997,0.5643333333333334,0.415,0.465,0.4566666666666667,0.469,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.4536666666666666,0.5196666666666667,0.5339999999999999,0.4913333333333333,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666,3.967,3.397,3.382,3.354,3.242,4.512,3.799,3.667,3.238,3.383,3.584,4.058,3.699,3.668,3.63348222953,3.87656,3.4876160000000005,3.550647150214,3.61803,3.61255,12.122,9.251,10.024,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.127,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004,22.425384023333333,29.097777776666664,28.999270356666667,28.999270356666667,28.999270356666667,30.54504863,29.576709403333336,24.83044803,28.6791133,24.83044803,29.576709403333336,29.61053251333333,29.097777776666664,27.20695084666667,29.06691602814716,29.60861919163333,28.912052516293333,28.646515897574695,28.008538523,28.95924356756667
Sorghum,118297.0,1997,0.5643333333333334,0.415,0.465,0.4566666666666667,0.469,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.4536666666666666,0.5196666666666667,0.5339999999999999,0.4913333333333333,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666,3.967,3.397,3.382,3.354,3.242,4.512,3.799,3.667,3.238,3.383,3.584,4.058,3.699,3.668,3.63348222953,3.87656,3.4876160000000005,3.550647150214,3.61803,3.61255,12.122,9.251,10.024,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.127,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004,22.425384023333333,29.097777776666664,28.999270356666667,28.999270356666667,28.999270356666667,30.54504863,29.576709403333336,24.83044803,28.6791133,24.83044803,29.576709403333336,29.61053251333333,29.097777776666664,27.20695084666667,29.06691602814716,29.60861919163333,28.912052516293333,28.646515897574695,28.008538523,28.95924356756667
