Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1996,3.4109999999999996,11.597000000000001,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.742999999999999,12.311,12.386343354931999,13.125430000000001,12.750478000000001,12.71027287775,12.188030000000001,12.394870000000001
1997,12.122,12.472999999999999,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.873999999999999,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967
1998,22.359,6.527,11.386,39.64,30.85,13.645000000000001,6.551,14.848000000000003,30.055,14.653,9.732999999999999,20.672,18.701999999999998,14.23,15.483178927702001,12.436150000000001,21.531053999999997,21.633630031772,11.78932,22.390180000000004
1999,0.016,0.6900000000000001,1.4169999999999998,12.385000000000002,8.553,9.151,6.336,4.925,7.256,4.413,8.347,11.315000000000001,1.5619999999999998,15.835999999999999,7.254355568052,8.094380000000001,6.818484000000001,7.282654298774001,7.87479,9.025310000000001
2000,0.895,5.143000000000001,5.367,8.176,4.058,21.637,4.651999999999999,7.6290000000000004,6.657,3.255,9.128,9.58,3.991,3.1750000000000003,6.5413266801239995,7.118119999999999,6.304997999999999,6.240245728540001,5.493469999999999,7.24016
2001,0.10200000000000001,0.402,0.732,1.3820000000000001,1.3159999999999998,0.151,0.7090000000000001,2.06,0.759,0.9570000000000001,0.31,0.781,1.199,0.16999999999999998,0.7482300015960001,0.7292500000000001,1.019898,1.065331429386,0.5955100000000001,0.9141400000000001
2002,30.398,56.15,35.833,41.288,37.16,6.079,6.785,73.223,31.046999999999997,72.563,6.148,11.661,52.015,5.335999999999999,20.508292304022003,9.98417,35.669776,34.048447202206,23.93511,25.874719999999993
2003,0.034,0.53,0.086,1.9849999999999999,2.449,13.642,3.2870000000000004,1.313,1.483,0.9289999999999999,0.113,0.927,0.372,0.667,1.7060933379899996,3.21308,1.35751,1.8433871478280004,1.45505,1.8319399999999995
2004,0.0,8.866,5.669,9.0,7.383,9.177,16.092000000000002,9.199,8.335,5.109999999999999,10.203,13.82,2.8760000000000003,2.786,10.533472234522002,14.60852,8.565966,9.163624298422,9.2088,10.28208
2005,5.737,11.553999999999998,9.404,15.987,14.437,69.153,8.9,12.119,17.182,10.122000000000002,6.474,14.096,5.401,3.1630000000000003,11.252437811204002,14.199640000000002,11.812854000000002,12.69142717811,8.505120000000002,13.19433
