Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1973,19.86315789,24.665,26.47777778,26.47777778,26.47777778,29.5875,25.48888889,22.58695652,24.25,22.58695652,25.48888889,27.175,24.665,25.08421053,25.793933325292567,26.2156666675,25.87289703288,25.703160646378777,24.7590858195,25.948747852600004
1974,19.96923077,23.75,25.5,25.5,25.5,25.17272727,23.72,22.175,23.78571429,22.175,23.72,24.64,23.75,22.81153846,24.224341571619824,24.143963636200002,24.70767842158,24.479737644238345,23.2601728769,24.447184215800004
1975,21.46190476,26.9,25.46521739,25.46521739,25.46521739,25.86666667,26.15,23.36,24.95625,23.36,26.15,24.56363636,26.9,23.79,25.52946332101334,25.6953221336,25.61486173676,25.35983905480995,25.0476410996,25.3611493919
1976,20.27096774,24.16521739,24.36538462,24.36538462,24.36538462,26.53571429,24.72380952,21.23870968,23.9125,21.23870968,24.72380952,24.28387097,24.16521739,23.67333333,24.343230964447944,24.7010336747,24.21909155738,24.061591179934357,23.693313926,24.2574321223
1977,19.72142857,26.495,26.78571429,26.78571429,26.78571429,27.92857143,25.47,22.47142857,27.54210526,22.47142857,25.47,27.25,26.495,24.325,25.954697795274598,26.1414571432,26.319855641460002,26.016177011915296,24.6627210524,26.159527821100003
1978,21.18709677,25.85517241,26.32258065,26.32258065,26.32258065,28.26785714,26.62962963,22.45806452,26.43225806,22.45806452,26.62962963,27.23225806,25.85517241,24.72258065,26.34177740451308,26.860157449299997,26.145861996679997,25.959777351015045,25.3063507192,26.2963119497
1979,21.20333333,24.94090909,25.6,25.6,25.6,28.50833333,26.1,21.51612903,26.55333333,21.51612903,26.1,27.54,24.94090909,23.60666667,25.86361325564128,26.574499999800004,25.48011840638,25.341547940222487,24.6026445258,25.829514858
1980,20.91612903,24.63870968,25.74193548,25.74193548,25.74193548,29.6516129,26.76956522,21.08709677,26.69032258,21.08709677,26.76956522,27.61935484,24.63870968,24.1483871,26.215945973622222,27.0932777014,25.608343336460003,25.499569072343377,24.947754559,26.087284711800002
1981,21.18709677,25.44193548,26.19666667,26.19666667,26.19666667,27.36818182,26.46923077,22.40322581,24.11935484,22.40322581,26.46923077,25.91290323,25.44193548,24.18387097,25.979773425210112,26.367732101999998,25.89692619182,25.67505919082083,25.066775368200002,25.8842547056
1982,21.17096774,25.11612903,25.74482759,25.74482759,25.74482759,26.77692308,24.97142857,22.82580645,24.60344828,22.82580645,24.97142857,25.06451613,25.11612903,23.50322581,25.059109858907398,25.149434071800002,25.32032168502,25.111476689605123,24.246420430100002,25.132219219200003
