Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,13.065,15.282,15.17,15.01,15.036999999999999,13.445,14.23,13.812,14.407,13.619,14.061,14.89,14.592,13.355,14.477065583686,14.393279999999999,14.808982,14.645612884924,13.937429999999999,14.585339999999999
1985,11.568,12.636,12.259,11.638,11.797,11.356,10.643,12.683,11.107,11.233,10.444,11.727,12.001,10.38,11.245081134355999,11.016079999999999,11.751497999999998,11.645581451064,10.804390000000001,11.375770000000001
1986,10.696,9.377,9.786,10.644,10.163,13.382,13.077,10.466,10.807,10.757,11.526,12.244,9.364,10.589,11.463464465796001,12.720749999999999,10.579832,10.923345736324,11.542360000000002,11.33126
1987,12.040000000000001,12.805,13.567,16.646,15.604,13.077,14.971,14.712,13.863,12.374,15.286,14.08,12.937,13.282,14.651035582607998,14.72784,14.828822,14.836788597922002,14.104379999999999,15.04397
1988,13.997,14.245000000000001,13.766,15.277,14.907,13.426,14.495000000000001,16.8,16.614,16.019,13.717,15.205,14.583,12.886,14.477242251965999,14.643799999999999,14.695643999999998,14.865514314544,14.41704,14.80082
1989,12.263,12.76,13.371,14.325,14.231,11.675,13.802,13.462,13.386000000000001,11.772,13.997,13.835,12.943,12.383,13.708353358882,13.71502,13.757208,13.708705739496,13.11942,13.81207
1990,10.822,8.976,10.442,8.270999999999999,10.447,11.603,12.511,8.051,8.228,8.389,13.748,11.277000000000001,10.017,12.831,11.621458908264,11.92775,10.166726,10.177898592742,11.69485,10.66779
1991,11.163,10.136,10.232,8.255,10.167,9.536999999999999,9.289,10.902,8.913,9.317,9.735,9.213000000000001,10.109,11.138,9.711897797659999,9.24642,9.605305999999999,9.574181448554,9.759870000000001,9.31872
1992,11.342,8.872,10.879,11.538,11.619,13.396,13.152,10.166,9.775,9.386,12.606,12.784,10.066,11.647,12.122608910264,12.97315,11.344392000000001,11.554477164864002,11.735349999999999,11.973410000000001
1993,13.05,13.98,13.597,14.113,14.12,14.445,14.843,14.844000000000001,14.563,14.942,13.619,14.054,13.862,14.053,14.141154472855998,14.5659,14.044715999999998,14.205665742472,14.35436,14.155399999999998
1994,16.134,17.236,17.746,18.64,17.882,15.586,16.294,18.273,18.375,18.176000000000002,17.123,16.547,17.058,16.643,17.068704479138002,16.45624,17.663418,17.548540034078002,17.0765,17.40104
1995,13.868,14.217,14.586,15.492,15.427,16.586,18.361,14.637,15.267999999999999,13.632,17.772,16.151,14.01,15.571,16.534750029618003,17.523320000000002,15.514350000000002,15.702147173403999,16.39329,16.18257
1996,11.717,10.001,11.218,12.119,11.329,16.2,15.264,11.534,11.513,9.632,13.453,14.344,10.58,14.225,13.199134468338,14.875449999999999,12.026994000000002,12.449222881926001,13.08512,13.006499999999999
1997,12.271,11.414,13.465,12.009,13.079,18.477,17.501,11.75,12.241999999999999,12.06,17.395,16.671,11.558,15.275,15.540555581567999,17.03218,13.522120000000001,13.803300028324003,15.500580000000003,14.65184
1998,12.9,12.15,12.901,13.897,13.096,16.918,15.2,14.513,14.62,15.322,15.064,15.276,12.358,15.105,14.454477806173998,15.23453,13.666049999999998,13.982388600593998,15.043930000000001,14.42476
1999,17.062,17.777,18.649,18.878,19.126,19.744,18.721,18.871,19.604,18.569,19.206,19.681,17.724,17.957,18.964307814708,19.03913,18.765672000000002,18.798614322834,18.685630000000003,18.98198
2000,15.421,17.389,16.637,17.994,17.622,16.153,18.606,17.535,17.753,15.805,19.007,17.736,16.481,16.855,17.937116700308,18.204890000000002,17.602434,17.586104319538002,17.656480000000002,17.89437
2001,16.956,16.44,16.816,16.641,17.752,16.065,15.472,15.47,15.31,13.924,17.304,15.123,16.564,17.347,16.407776698825998,15.5199,16.632714,16.376981460955996,15.97361,16.31845
