Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1984,0.48866666666666664,0.5176666666666666,0.5656666666666667,0.595,0.5126666666666667,0.535,0.5113333333333333,0.5563333333333333,0.6823333333333333,0.539,0.49300000000000005,0.6073333333333334,0.5073333333333333,0.49666666666666665,0.5312277788706667,0.5407666666666666,0.5476066666666667,0.5497619058340001,0.5150366666666667,0.5529033333333333
1985,0.4533333333333333,0.385,0.4096666666666667,0.328,0.3526666666666667,0.38766666666666666,0.33866666666666667,0.39166666666666666,0.395,0.42366666666666664,0.325,0.371,0.336,0.319,0.3559414822413333,0.34915999999999997,0.3583306666666667,0.35896381029200003,0.35503666666666667,0.3502133333333333
1986,0.3136666666666667,0.30633333333333335,0.293,0.3433333333333333,0.3506666666666667,0.36533333333333334,0.39066666666666666,0.32866666666666666,0.45533333333333337,0.36633333333333334,0.37566666666666665,0.4216666666666667,0.25666666666666665,0.288,0.3666274080793333,0.39398,0.33640733333333334,0.345238095944,0.36041666666666666,0.3664266666666667
1987,0.36833333333333335,0.48633333333333334,0.49099999999999994,0.5913333333333334,0.574,0.49033333333333334,0.47100000000000003,0.5603333333333333,0.569,0.5686666666666667,0.4603333333333333,0.5233333333333333,0.4136666666666667,0.424,0.4981855565493333,0.4921833333333333,0.5221273333333334,0.523420000962,0.4858766666666666,0.52378
1988,0.4506666666666667,0.5453333333333333,0.498,0.5496666666666666,0.57,0.5043333333333333,0.51,0.592,0.569,0.549,0.518,0.527,0.48333333333333334,0.48500000000000004,0.52474926031,0.5165733333333333,0.5326793333333333,0.5328566677013333,0.5184733333333335,0.5325766666666668
1989,0.35800000000000004,0.2866666666666666,0.36533333333333334,0.4486666666666667,0.4296666666666667,0.36233333333333334,0.4083333333333334,0.39166666666666666,0.3993333333333333,0.39566666666666667,0.45166666666666666,0.383,0.3113333333333333,0.4203333333333333,0.40790222297199996,0.40190333333333333,0.39790800000000004,0.4020233340973334,0.41482666666666673,0.4148066666666667
1990,0.30466666666666664,0.2956666666666667,0.32833333333333337,0.32266666666666666,0.336,0.36033333333333334,0.429,0.23866666666666667,0.27266666666666667,0.25333333333333335,0.47000000000000003,0.36633333333333334,0.2906666666666667,0.42700000000000005,0.3850440746886667,0.40337666666666666,0.3400926666666667,0.33954095306200005,0.38854333333333335,0.3640066666666667
1991,0.4406666666666667,0.3446666666666667,0.39799999999999996,0.2996666666666667,0.379,0.32966666666666666,0.3253333333333333,0.3786666666666667,0.39666666666666667,0.375,0.31633333333333336,0.336,0.37799999999999995,0.3993333333333333,0.348049260002,0.3274233333333333,0.3498793333333333,0.35099047693400004,0.3501266666666667,0.33546
1992,0.47266666666666673,0.36533333333333334,0.3746666666666667,0.38999999999999996,0.35400000000000004,0.4923333333333333,0.422,0.41566666666666663,0.4176666666666667,0.4103333333333334,0.424,0.4756666666666667,0.369,0.455,0.4136055563973334,0.4373766666666667,0.3903726666666667,0.399456191344,0.42428333333333335,0.4150766666666667
1993,0.4626666666666666,0.5083333333333333,0.45366666666666666,0.5263333333333334,0.5193333333333333,0.5403333333333333,0.53,0.498,0.5126666666666667,0.459,0.4666666666666666,0.49866666666666665,0.48533333333333334,0.509,0.49851629729666674,0.5218633333333333,0.49974066666666667,0.5058404771786666,0.49224,0.5074933333333334
