Crop,Year,Month,Model,Features,Parameters,Predicted Production,Actual Production,Error,% Error,Feature Values,Abs_Error,Abs_Pct_Error
Rice,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1449219.95,1469610.0,-20390.050000000047,-0.013874463292982524,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",20390.050000000047,0.013874463292982524
Corn,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",803341.4,797652.0,5689.400000000023,0.0071326844287985525,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",5689.400000000023,0.0071326844287985525
Millet,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1101897.2,1273874.0,-171976.80000000005,-0.13500299087664874,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",171976.80000000005,0.13500299087664874
Sorghum,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",366186.15,385203.0,-19016.849999999977,-0.04936838498142532,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",19016.849999999977,0.04936838498142532
Peanut,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1505128.3,2187721.0,-682592.7,-0.3120108551318929,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",682592.7,0.3120108551318929
Rice,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1450998.35,1604438.27,-153439.91999999993,-0.09563466720349417,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",153439.91999999993,0.09563466720349417
Corn,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",804254.15,863058.51,-58804.359999999986,-0.06813484754353442,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",58804.359999999986,0.06813484754353442
Millet,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1119483.15,1119123.1800000002,359.96999999973923,0.00032165360027636917,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",359.96999999973923,0.00032165360027636917
Sorghum,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",368023.7,443136.11,-75112.40999999997,-0.16950189412458394,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",75112.40999999997,0.16950189412458394
Peanut,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1544517.9,1596863.37,-52345.470000000205,-0.03278018081158703,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",52345.470000000205,0.03278018081158703
Rice,2019,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI']","{'training_data_years': 20, 'differencing': 1, 'ma': 0}",1463273.4135,1358263.01,105010.40350000001,0.07731227510936929,"Rice_Weighted_Rainfall_Transformed    260.414350
Rice_Weighted_VHI_Transformed           0.263683
Name: 128, dtype: float64",105010.40350000001,0.07731227510936929
