ID,Month,Model,Features,MAPE,MAE,Timestamp,Corn_MAPE,Millet_MAPE,Peanut_MAPE,Rice_MAPE,Sorghum_MAPE,2017_MAPE,2018_MAPE,2019_MAPE,2020_MAPE,2021_MAPE,2022_MAPE,2023_MAPE,Parameters
70873904,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.118049171,116466.0417,8/15/2024 10:10,0.088725202,0.135400003,0.162714453,0.060871211,0.142534986,0.160893261,0.107550066,0.097792324,0.228466864,0.079404185,0.0397858,0.112451697,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,2,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.118419967,119822.6076,8/15/2024 10:10,0.10750582,0.119749238,0.183098642,0.058050399,0.123695738,0.156584781,0.115616127,0.081758023,0.198633771,0.093056917,0.090860346,0.092429807,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.11639612,116009.4025,8/15/2024 10:10,0.109089274,0.115438328,0.16810957,0.05527264,0.134070785,0.15002638,0.120734245,0.056682385,0.220865759,0.098342144,0.063393657,0.104728268,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.120437453,119180.2506,8/15/2024 10:10,0.097325892,0.128225618,0.16698807,0.069350247,0.140297438,0.180552491,0.120422066,0.087253296,0.197870227,0.09933567,0.045566404,0.112062016,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.127617735,124213.8239,8/15/2024 10:10,0.112223272,0.134785302,0.185180166,0.064811133,0.141088801,0.260557494,0.096208798,0.094025679,0.195532806,0.126194851,0.045103735,0.07570078,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,6,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.103629736,97997.60871,8/15/2024 10:10,0.090052229,0.107447532,0.134272928,0.05076459,0.135611403,0.155816303,0.112028826,0.089961855,0.217874495,0.024654822,0.042017606,0.083054248,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,7,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.121612406,124983.1424,8/15/2024 10:10,0.116359022,0.123164547,0.190718222,0.046327985,0.131492252,0.16226444,0.122798389,0.036804263,0.095476564,0.06439335,0.146445653,0.223104182,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,8,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.110136522,107107.1203,8/15/2024 10:10,0.13529873,0.092068639,0.147346083,0.065275035,0.110694125,0.140409184,0.194942886,0.050371484,0.01854159,0.054432818,0.124869301,0.187388393,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,9,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.127773619,118092.338,8/15/2024 10:11,0.147143136,0.108812306,0.161166498,0.068335627,0.153410527,0.185096308,0.235854987,0.05390249,0.081235019,0.10974303,0.06412713,0.164456368,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
70873904,10,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']",0.120976312,122125.1055,8/15/2024 10:11,0.107340994,0.144995249,0.175225567,0.048725094,0.128594656,0.183853346,0.140353846,0.049974211,0.031298558,0.133348676,0.084938748,0.223066797,"{'training_data_years': 20, 'differencing': 1, 'ma': 0}"
